name,gp,g,a,plus_minus,pim,ppp,sog,hit,blk,year,team_name,gwg,position,mult_position_player,avg_time_on_ice
Andre Burakovsky,11,4,3,-2,4,1,21,10,4,2021,No Regretzkys,NA,,,
Adam Fox,75,11,62,23,26,32,152,29,124,2021,No Regretzkys,NA,,,
Seth Jones,71,5,43,-41,24,19,177,91,148,2021,No Regretzkys,NA,,,
Jamie Benn,77,16,26,-13,79,9,168,132,56,2021,No Regretzkys,NA,,,
Teuvo Teravainen,71,19,39,19,24,29,185,13,28,2021,No Regretzkys,NA,,,
Roope Hintz,9,0,1,-5,2,1,24,11,6,2021,No Regretzkys,NA,,,
Radko Gudas,75,3,12,25,103,0,97,348,117,2021,No Regretzkys,NA,,,
Zach Werenski,12,2,5,-1,4,2,42,5,13,2021,No Regretzkys,NA,,,
Brayden Schenn,34,15,20,18,20,10,58,52,9,2021,No Regretzkys,NA,,,
Tomas Hertl,27,13,6,-4,2,4,75,26,14,2021,No Regretzkys,NA,,,
Brenden Dillon,7,0,1,1,11,0,14,19,6,2021,No Regretzkys,NA,,,
Anthony Mantha,4,0,3,0,2,1,5,2,2,2021,No Regretzkys,NA,,,
Matt Duchene,63,36,35,7,34,23,178,29,22,2021,No Regretzkys,NA,,,
Blake Coleman,68,13,15,11,56,0,173,131,37,2021,No Regretzkys,NA,,,
Josh Manson,28,2,3,-3,23,0,35,70,27,2021,No Regretzkys,NA,,,
Tyler Bertuzzi,52,21,24,-18,35,12,146,48,31,2021,No Regretzkys,NA,,,
Rasmus Andersson,7,0,4,-2,0,1,12,3,14,2021,No Regretzkys,NA,,,
Torey Krug,5,1,4,4,2,3,11,4,2,2021,No Regretzkys,NA,,,
Ivan Provorov,1,0,1,1,0,0,1,1,1,2021,No Regretzkys,NA,,,
Colton Parayko,1,0,0,-2,0,0,0,1,3,2021,No Regretzkys,NA,,,
Vincent Trocheck,46,12,16,13,39,5,99,111,23,2021,No Regretzkys,NA,,,
Alex Goligoski,35,0,5,13,8,1,38,26,47,2021,No Regretzkys,NA,,,
Anthony Duclair,35,12,11,-5,22,14,82,20,3,2021,No Regretzkys,NA,,,
Christopher Tanev,17,2,5,9,4,0,19,12,39,2021,No Regretzkys,NA,,,
Total,942,241,439,81,575,215,2186,1286,822,2021,No Regretzkys,NA,,,
Connor McDavid,52,29,67,22,20,35,185,60,24,2020,Speak Up I'm Wasted,NA,,,
Bo Horvat,37,15,14,2,10,8,84,47,25,2020,Speak Up I'm Wasted,NA,,,
Mitchell Marner,49,16,47,25,18,13,137,20,39,2020,Speak Up I'm Wasted,NA,,,
Brock Boeser,44,16,20,-10,12,11,103,24,14,2020,Speak Up I'm Wasted,NA,,,
Morgan Rielly,51,5,30,18,12,11,94,57,56,2020,Speak Up I'm Wasted,NA,,,
Ivan Provorov,52,6,16,-3,26,8,117,54,95,2020,Speak Up I'm Wasted,NA,,,
Patrice Bergeron,48,21,25,28,14,13,157,46,33,2020,Speak Up I'm Wasted,NA,,,
Johnny Gaudreau,51,18,21,-2,4,17,100,8,9,2020,Speak Up I'm Wasted,NA,,,
Jakub Vrana,26,9,11,9,6,3,52,20,3,2020,Speak Up I'm Wasted,NA,,,
Patrik Laine,44,11,12,-26,23,7,79,33,15,2020,Speak Up I'm Wasted,NA,,,
Ryan Pulock,51,2,14,16,4,1,113,87,98,2020,Speak Up I'm Wasted,NA,,,
P.K. Subban,34,3,11,-10,24,5,77,30,35,2020,Speak Up I'm Wasted,NA,,,
John Klingberg,40,6,24,-6,19,15,83,32,39,2020,Speak Up I'm Wasted,NA,,,
Jakub Voracek,5,2,2,-2,2,1,10,3,2,2020,Speak Up I'm Wasted,NA,,,
Max Domi,4,0,1,-4,0,1,6,0,1,2020,Speak Up I'm Wasted,NA,,,
Erik Gudbranson,5,0,0,-3,2,0,5,10,4,2020,Speak Up I'm Wasted,NA,,,
Josh Anderson,22,6,2,-6,13,0,44,54,13,2020,Speak Up I'm Wasted,NA,,,
Jared Spurgeon,19,3,11,-1,2,6,27,15,42,2020,Speak Up I'm Wasted,NA,,,
Ryan Nugent-Hopkins,8,1,3,0,6,2,21,4,5,2020,Speak Up I'm Wasted,NA,,,
Total,642,169,331,47,217,157,1494,604,552,2020,Speak Up I'm Wasted,NA,,,
Brock Boeser,4,1,1,-3,2,1,NA,0,1,2018,Sugar Kane,1,,,
Morgan Rielly,56,14,39,21,4,16,NA,38,70,2018,Sugar Kane,5,,,
Michael Del Zotto,2,0,0,0,0,0,NA,6,3,2018,Sugar Kane,0,,,
Jonathan Marchessault,70,24,27,-2,38,15,NA,88,18,2018,Sugar Kane,5,,,
Nathan MacKinnon,59,28,46,14,26,27,NA,38,19,2018,Sugar Kane,3,,,
Reilly Smith,26,5,6,-2,2,5,NA,11,12,2018,Sugar Kane,1,,,
Jaden Schwartz,3,0,0,-4,2,0,NA,5,3,2018,Sugar Kane,0,,,
Phil Kessel,75,24,50,-21,28,33,NA,11,17,2018,Sugar Kane,9,,,
Craig Smith,1,0,1,1,0,0,NA,1,1,2018,Sugar Kane,0,,,
Alec Martinez,16,1,4,0,2,0,NA,27,32,2018,Sugar Kane,1,,,
Ryan Nugent-Hopkins,1,0,0,0,0,0,NA,0,0,2018,Sugar Kane,0,,,
Taylor Hall,33,11,26,-6,16,12,NA,22,29,2018,Sugar Kane,3,,,
Jakob Silfverberg,3,2,0,2,2,0,NA,1,1,2018,Sugar Kane,0,,,
Elias Pettersson,60,23,33,4,8,17,NA,39,42,2018,Sugar Kane,6,,,
Viktor Arvidsson,47,27,12,7,20,2,NA,15,19,2018,Sugar Kane,4,,,
Jeff Petry,73,11,27,-15,28,11,NA,177,111,2018,Sugar Kane,3,,,
Tomas Tatar,11,5,1,-3,0,1,NA,10,2,2018,Sugar Kane,1,,,
Mark Borowiecki,2,0,0,-1,0,0,NA,10,4,2018,Sugar Kane,0,,,
Josh Morrissey,48,5,18,11,12,7,NA,47,82,2018,Sugar Kane,2,,,
Rickard Rakell,1,0,1,0,0,0,NA,0,1,2018,Sugar Kane,0,,,
Mark Stone,7,1,4,2,2,3,NA,7,5,2018,Sugar Kane,0,,,
Patric Hornqvist,27,7,7,-4,2,3,NA,42,12,2018,Sugar Kane,1,,,
Patrik Nemeth,2,0,0,-1,5,0,NA,3,2,2018,Sugar Kane,0,,,
Eric Staal,20,5,7,-2,4,4,NA,9,4,2018,Sugar Kane,0,,,
Dustin Brown,21,8,8,6,6,3,NA,47,9,2018,Sugar Kane,1,,,
Jamie Oleksiak,2,0,0,-1,7,0,NA,8,0,2018,Sugar Kane,0,,,
Nikolaj Ehlers,1,1,0,2,0,0,NA,0,0,2018,Sugar Kane,1,,,
Boone Jenner,10,1,0,-5,8,0,NA,23,8,2018,Sugar Kane,1,,,
Dustin Byfuglien,20,2,14,0,36,8,NA,33,25,2018,Sugar Kane,0,,,
Brenden Dillon,2,0,0,0,0,0,NA,1,0,2018,Sugar Kane,0,,,
Kris Russell,11,1,1,2,2,0,NA,21,28,2018,Sugar Kane,0,,,
Kasperi Kapanen,6,0,3,-2,5,1,NA,6,3,2018,Sugar Kane,0,,,
Anthony Mantha,1,0,0,0,0,0,NA,0,0,2018,Sugar Kane,0,,,
Brayden McNabb,47,4,9,22,28,0,NA,129,76,2018,Sugar Kane,1,,,
Andy Greene,2,0,0,-2,0,0,NA,0,6,2018,Sugar Kane,0,,,
Evgenii Dadonov,1,1,0,1,0,1,NA,0,0,2018,Sugar Kane,0,,,
Oscar Klefbom,1,0,0,1,2,0,NA,0,2,2018,Sugar Kane,0,,,
Darnell Nurse,1,0,1,1,0,0,NA,1,0,2018,Sugar Kane,0,,,
Josh Anderson,1,0,1,1,0,0,NA,2,0,2018,Sugar Kane,0,,,
Cedric Paquette,3,1,1,2,7,0,NA,7,1,2018,Sugar Kane,0,,,
Brian Dumoulin,22,0,9,7,6,0,NA,39,35,2018,Sugar Kane,0,,,
Brady Tkachuk,1,0,0,-1,0,0,NA,1,0,2018,Sugar Kane,0,,,
Jonathan Drouin,4,1,0,-4,2,0,NA,7,0,2018,Sugar Kane,0,,,
Anders Lee,13,4,5,4,8,2,NA,14,10,2018,Sugar Kane,1,,,
Micheal Ferland,2,0,1,1,0,0,NA,4,0,2018,Sugar Kane,0,,,
Ryan Dzingel,6,2,4,-4,0,3,NA,6,5,2018,Sugar Kane,1,,,
Justin Williams,1,0,0,0,0,0,NA,0,1,2018,Sugar Kane,0,,,
Paul Stastny,1,0,1,-2,2,0,NA,3,0,2018,Sugar Kane,0,,,
Andrei Svechnikov,1,0,0,-1,0,0,NA,2,0,2018,Sugar Kane,0,,,
Jason Zucker,1,0,1,1,0,0,NA,4,1,2018,Sugar Kane,0,,,
David Krejci,5,2,4,4,0,2,NA,3,1,2018,Sugar Kane,1,,,
Nico Hischier,2,0,0,1,0,0,NA,0,0,2018,Sugar Kane,0,,,
Patrice Bergeron,14,9,7,9,4,3,NA,6,13,2018,Sugar Kane,1,,,
Ryan Pulock,2,0,2,-2,2,2,NA,5,4,2018,Sugar Kane,0,,,
Tomas Hertl,13,3,5,4,4,0,NA,10,11,2018,Sugar Kane,0,,,
Erik Karlsson,2,0,0,-2,0,0,NA,0,0,2018,Sugar Kane,0,,,
Milan Lucic,9,0,2,3,22,0,NA,27,5,2018,Sugar Kane,0,,,
Nino Niederreiter,8,1,3,-7,2,0,NA,10,3,2018,Sugar Kane,0,,,
Mikael Backlund,6,3,4,9,6,1,NA,2,2,2018,Sugar Kane,1,,,
Total,890,238,396,46,362,183,NA,1028,739,2018,Sugar Kane,54,,,
Elias Pettersson,67,28,38,19,16,23,163,62,41,2019,Sugar Kane,NA,,,
Tomas Hertl,41,12,19,-16,14,7,98,26,20,2019,Sugar Kane,NA,,,
Brock Boeser,3,0,2,1,0,0,9,1,0,2019,Sugar Kane,NA,,,
Morgan Rielly,27,3,17,1,18,5,67,17,34,2019,Sugar Kane,NA,,,
Jack Eichel,67,36,41,3,34,27,225,40,38,2019,Sugar Kane,NA,,,
Brad Marchand,69,28,58,26,82,28,180,54,19,2019,Sugar Kane,NA,,,
Blake Wheeler,70,22,43,4,37,22,178,99,50,2019,Sugar Kane,NA,,,
Shea Weber,65,15,21,9,33,8,185,112,114,2019,Sugar Kane,NA,,,
Cale Makar,57,12,38,12,12,19,121,45,47,2019,Sugar Kane,NA,,,
Josh Morrissey,12,1,7,-9,2,5,32,11,8,2019,Sugar Kane,NA,,,
Jack Hughes,1,0,0,-1,0,0,1,0,0,2019,Sugar Kane,NA,,,
Anders Lee,10,4,2,5,4,0,16,15,5,2019,Sugar Kane,NA,,,
Cam Atkinson,18,3,8,-1,4,5,65,13,12,2019,Sugar Kane,NA,,,
Dustin Brown,2,0,0,-1,2,0,3,7,0,2019,Sugar Kane,NA,,,
Victor Olofsson,13,4,3,-5,4,5,30,3,2,2019,Sugar Kane,NA,,,
Justin Schultz,2,0,2,5,0,0,3,0,2,2019,Sugar Kane,NA,,,
Deryk Engelland,5,0,0,-1,0,0,9,18,7,2019,Sugar Kane,NA,,,
Brandon Tanev,56,10,8,-7,14,1,70,197,48,2019,Sugar Kane,NA,,,
Ryan Reaves,2,0,0,-2,0,0,2,9,0,2019,Sugar Kane,NA,,,
Alex Tuch,1,0,0,-1,0,0,0,0,0,2019,Sugar Kane,NA,,,
Adam Henrique,1,0,0,-1,0,0,1,0,2,2019,Sugar Kane,NA,,,
Brock Nelson,4,0,2,-4,0,0,8,4,3,2019,Sugar Kane,NA,,,
Reilly Smith,9,1,4,0,6,1,20,3,2,2019,Sugar Kane,NA,,,
Radko Gudas,33,2,6,11,15,0,51,90,34,2019,Sugar Kane,NA,,,
Pavel Buchnevich,1,0,1,0,0,0,2,0,0,2019,Sugar Kane,NA,,,
Jakub Vrana,44,15,17,-2,8,8,113,22,11,2019,Sugar Kane,NA,,,
Andreas Athanasiou,1,0,0,-2,0,0,1,3,1,2019,Sugar Kane,NA,,,
Derick Brassard,1,0,0,-1,0,0,2,1,1,2019,Sugar Kane,NA,,,
Artturi Lehkonen,5,2,1,-4,0,0,8,11,2,2019,Sugar Kane,NA,,,
Jake Guentzel,13,5,11,9,6,4,35,12,7,2019,Sugar Kane,NA,,,
Seth Jones,31,3,12,12,8,3,73,39,66,2019,Sugar Kane,NA,,,
Roman Polak,4,0,0,-3,0,0,2,7,11,2019,Sugar Kane,NA,,,
Jaden Schwartz,1,0,0,-1,0,0,2,3,1,2019,Sugar Kane,NA,,,
Matt Martin,1,0,0,1,0,0,0,7,0,2019,Sugar Kane,NA,,,
Brent Seabrook,1,0,0,0,0,0,1,0,1,2019,Sugar Kane,NA,,,
Brenden Dillon,2,0,0,-1,4,0,0,4,2,2019,Sugar Kane,NA,,,
Matt Niskanen,1,0,0,0,2,0,2,0,0,2019,Sugar Kane,NA,,,
Neal Pionk,38,3,21,-3,22,14,105,98,42,2019,Sugar Kane,NA,,,
Shayne Gostisbehere,2,0,0,2,0,0,3,0,2,2019,Sugar Kane,NA,,,
Vincent Trocheck,1,0,1,0,0,0,2,4,0,2019,Sugar Kane,NA,,,
Jaccob Slavin,1,0,1,-2,0,0,2,0,0,2019,Sugar Kane,NA,,,
Dylan Larkin,1,1,0,1,0,1,4,0,0,2019,Sugar Kane,NA,,,
Noel Acciari,2,0,0,1,2,0,2,6,2,2019,Sugar Kane,NA,,,
Patrik Laine,21,12,7,1,8,7,72,28,10,2019,Sugar Kane,NA,,,
Tanner Pearson,5,1,1,-4,0,1,8,1,5,2019,Sugar Kane,NA,,,
Jake Virtanen,1,0,0,0,0,0,5,1,0,2019,Sugar Kane,NA,,,
David Krejci,5,0,2,0,4,0,9,3,3,2019,Sugar Kane,NA,,,
Joe Pavelski,14,3,5,0,7,4,27,18,9,2019,Sugar Kane,NA,,,
Marcus Foligno,2,0,0,0,2,0,3,4,2,2019,Sugar Kane,NA,,,
Joel Armia,4,1,0,-2,6,0,5,13,1,2019,Sugar Kane,NA,,,
Kailer Yamamoto,1,0,0,0,0,0,0,2,0,2019,Sugar Kane,NA,,,
Jakob Chychrun,1,0,0,0,2,0,6,0,0,2019,Sugar Kane,NA,,,
Ian Cole,3,0,0,-2,0,0,3,2,5,2019,Sugar Kane,NA,,,
David Savard,4,0,2,-1,6,1,9,6,14,2019,Sugar Kane,NA,,,
Dominik Kubalik,5,1,1,-1,2,0,7,6,1,2019,Sugar Kane,NA,,,
Total,852,228,402,45,386,199,2050,1127,687,2019,Sugar Kane,NA,,,
Leon Draisaitl,53,30,49,30,24,31,160,35,12,2020,Sugar Kane,NA,,,
Jonathan Drouin,4,0,3,0,2,1,2,4,1,2020,Sugar Kane,NA,,,
Mikko Rantanen,49,30,31,25,32,23,170,23,17,2020,Sugar Kane,NA,,,
Cale Makar,40,8,35,12,8,22,99,46,34,2020,Sugar Kane,NA,,,
Torey Krug,47,1,27,7,25,11,103,47,53,2020,Sugar Kane,NA,,,
Shea Weber,47,6,12,-5,33,10,103,70,64,2020,Sugar Kane,NA,,,
Evgeny Kuznetsov,19,2,9,5,8,2,36,8,9,2020,Sugar Kane,NA,,,
Sean Monahan,11,2,8,-1,2,3,25,6,5,2020,Sugar Kane,NA,,,
William Carrier,8,0,0,-2,4,0,9,19,2,2020,Sugar Kane,NA,,,
Teuvo Teravainen,8,0,1,0,0,0,17,4,4,2020,Sugar Kane,NA,,,
Drew Doughty,3,0,1,-3,2,0,2,7,10,2020,Sugar Kane,NA,,,
Mark Borowiecki,3,0,0,2,0,0,1,5,5,2020,Sugar Kane,NA,,,
Patric Hornqvist,40,14,15,-5,39,11,130,70,22,2020,Sugar Kane,NA,,,
Radko Gudas,1,0,0,0,0,0,0,2,2,2020,Sugar Kane,NA,,,
Ben Chiarot,22,1,4,-1,35,1,52,31,31,2020,Sugar Kane,NA,,,
Alex Tuch,3,1,1,0,4,0,4,3,2,2020,Sugar Kane,NA,,,
Jacob Trouba,8,0,1,0,10,0,14,25,24,2020,Sugar Kane,NA,,,
Dominik Kubalik,7,0,3,-1,0,2,22,6,3,2020,Sugar Kane,NA,,,
Roope Hintz,7,3,1,-1,2,2,19,9,2,2020,Sugar Kane,NA,,,
David Pastrnak,47,20,27,10,24,14,174,33,12,2020,Sugar Kane,NA,,,
Jordan Greenway,3,0,1,1,2,0,3,8,2,2020,Sugar Kane,NA,,,
Christian Dvorak,1,0,0,0,2,0,0,0,0,2020,Sugar Kane,NA,,,
James van Riemsdyk,24,6,10,-2,8,2,54,19,6,2020,Sugar Kane,NA,,,
Nick Schmaltz,1,0,0,-1,0,0,3,1,1,2020,Sugar Kane,NA,,,
Timo Meier,30,5,13,-3,12,7,90,40,15,2020,Sugar Kane,NA,,,
Justin Schultz,4,0,1,0,2,0,5,1,6,2020,Sugar Kane,NA,,,
Brock McGinn,2,0,1,2,0,0,1,1,0,2020,Sugar Kane,NA,,,
Josh Morrissey,1,0,0,-1,2,0,3,2,3,2020,Sugar Kane,NA,,,
Calvin de Haan,4,0,3,4,2,0,5,7,6,2020,Sugar Kane,NA,,,
Marcus Foligno,2,1,1,2,4,0,4,2,2,2020,Sugar Kane,NA,,,
Jean-Gabriel Pageau,29,5,10,5,6,3,36,65,31,2020,Sugar Kane,NA,,,
Drake Batherson,2,0,1,-1,0,0,2,4,1,2020,Sugar Kane,NA,,,
Ondrej Palat,34,6,24,-1,22,11,68,49,25,2020,Sugar Kane,NA,,,
MacKenzie Weegar,1,0,2,1,0,0,0,0,2,2020,Sugar Kane,NA,,,
Erik Cernak,5,0,2,2,4,0,12,7,4,2020,Sugar Kane,NA,,,
Ryan Graves,4,0,1,2,0,0,6,9,3,2020,Sugar Kane,NA,,,
Joel Edmundson,15,0,2,1,8,0,19,33,30,2020,Sugar Kane,NA,,,
Jamie Drysdale,1,0,0,-1,0,0,3,0,0,2020,Sugar Kane,NA,,,
Pierre-Luc Dubois,3,1,1,1,2,1,5,2,0,2020,Sugar Kane,NA,,,
Garnet Hathaway,4,0,2,-1,10,0,7,14,5,2020,Sugar Kane,NA,,,
Connor Murphy,12,0,3,2,2,0,25,21,35,2020,Sugar Kane,NA,,,
Joel Eriksson Ek,4,1,0,-2,6,0,9,10,3,2020,Sugar Kane,NA,,,
Brock Nelson,1,0,1,-1,0,1,2,0,0,2020,Sugar Kane,NA,,,
Max Comtois,3,0,1,-1,7,0,3,7,3,2020,Sugar Kane,NA,,,
Brayden McNabb,1,0,0,0,0,0,0,1,2,2020,Sugar Kane,NA,,,
Alex Goligoski,11,1,7,-5,2,3,15,16,17,2020,Sugar Kane,NA,,,
Anthony Duclair,9,4,6,10,6,1,17,5,3,2020,Sugar Kane,NA,,,
Cody Ceci,2,0,0,-1,0,0,3,3,1,2020,Sugar Kane,NA,,,
Esa Lindell,6,0,0,2,2,0,12,10,13,2020,Sugar Kane,NA,,,
Chandler Stephenson,6,2,3,0,0,0,14,6,2,2020,Sugar Kane,NA,,,
Scott Laughton,1,0,0,2,0,0,0,2,0,2020,Sugar Kane,NA,,,
Total,653,150,324,88,365,162,1568,798,535,2020,Sugar Kane,NA,,,
Chandler Stephenson,41,11,25,0,14,7,55,42,25,2021,Sugar Kane,NA,,,
Victor Hedman,82,20,65,25,36,38,218,94,129,2021,Sugar Kane,NA,,,
J.T. Miller,79,32,66,11,47,38,202,170,55,2021,Sugar Kane,NA,,,
Elias Pettersson,16,2,7,-3,2,6,46,5,7,2021,Sugar Kane,NA,,,
Anthony Mantha,2,1,1,-1,2,1,7,2,3,2021,Sugar Kane,NA,,,
Jesse Puljujarvi,31,10,13,5,12,5,87,35,7,2021,Sugar Kane,NA,,,
Jeff Petry,5,0,0,0,0,0,6,3,4,2021,Sugar Kane,NA,,,
Jake Guentzel,74,39,42,9,44,22,259,71,37,2021,Sugar Kane,NA,,,
Anthony Duclair,37,17,16,22,8,7,80,18,13,2021,Sugar Kane,NA,,,
Esa Lindell,24,1,3,0,2,0,45,43,44,2021,Sugar Kane,NA,,,
David Pastrnak,72,40,37,13,20,26,312,63,14,2021,Sugar Kane,NA,,,
Torey Krug,19,2,7,1,18,5,33,13,15,2021,Sugar Kane,NA,,,
Colton Parayko,16,1,6,-2,8,1,30,11,31,2021,Sugar Kane,NA,,,
Mike Hoffman,9,4,0,-4,0,2,12,4,4,2021,Sugar Kane,NA,,,
Cal Clutterbuck,1,0,0,0,0,0,2,9,1,2021,Sugar Kane,NA,,,
Erik Cernak,3,0,0,1,0,0,3,3,3,2021,Sugar Kane,NA,,,
Evan Bouchard,4,0,2,-1,0,1,8,5,7,2021,Sugar Kane,NA,,,
Ryan Getzlaf,12,0,9,3,4,1,25,17,13,2021,Sugar Kane,NA,,,
Ryan Hartman,2,1,1,3,0,0,7,3,2,2021,Sugar Kane,NA,,,
Jonas Brodin,2,0,0,-3,0,0,1,1,3,2021,Sugar Kane,NA,,,
Ben Chiarot,17,2,1,-10,12,1,33,29,24,2021,Sugar Kane,NA,,,
Sidney Crosby,67,31,53,22,30,30,205,48,37,2021,Sugar Kane,NA,,,
Erik Johnson,6,1,2,2,0,0,14,9,8,2021,Sugar Kane,NA,,,
Zach Whitecloud,1,0,0,1,0,0,0,0,4,2021,Sugar Kane,NA,,,
Rasmus Andersson,4,0,3,5,2,0,6,5,8,2021,Sugar Kane,NA,,,
Evan Rodrigues,1,0,1,-3,0,0,6,4,1,2021,Sugar Kane,NA,,,
Garnet Hathaway,35,5,7,9,31,0,56,108,35,2021,Sugar Kane,NA,,,
Andreas Johnsson,2,0,0,-1,0,0,6,2,0,2021,Sugar Kane,NA,,,
Tyler Myers,57,1,11,16,49,1,90,94,95,2021,Sugar Kane,NA,,,
Sonny Milano,2,1,0,1,0,0,2,0,0,2021,Sugar Kane,NA,,,
Brenden Dillon,48,2,12,4,41,0,43,128,66,2021,Sugar Kane,NA,,,
Ryan Johansen,1,0,0,0,0,0,1,0,0,2021,Sugar Kane,NA,,,
Joel Eriksson Ek,37,13,10,6,10,8,110,71,16,2021,Sugar Kane,NA,,,
Matt Roy,15,0,2,5,8,0,36,37,12,2021,Sugar Kane,NA,,,
Denis Gurianov,1,0,0,0,0,0,1,1,1,2021,Sugar Kane,NA,,,
Ivan Provorov,3,0,0,-4,0,0,7,4,3,2021,Sugar Kane,NA,,,
Michael Bunting,1,1,0,-1,0,0,1,1,1,2021,Sugar Kane,NA,,,
Erik Karlsson,1,0,0,-2,2,0,3,0,0,2021,Sugar Kane,NA,,,
Blake Wheeler,40,15,25,-16,22,14,104,30,25,2021,Sugar Kane,NA,,,
Evander Kane,43,22,16,25,60,4,152,135,11,2021,Sugar Kane,NA,,,
Noah Dobson,44,7,27,-6,10,16,99,34,79,2021,Sugar Kane,NA,,,
Mark Giordano,5,0,3,-7,2,1,18,4,9,2021,Sugar Kane,NA,,,
Boone Jenner,8,1,2,-6,4,1,20,19,4,2021,Sugar Kane,NA,,,
Tim Stuetzle,9,3,5,-5,0,4,23,8,4,2021,Sugar Kane,NA,,,
Josh Manson,14,1,3,-6,4,0,19,43,17,2021,Sugar Kane,NA,,,
Bo Horvat,13,8,3,2,6,4,34,15,10,2021,Sugar Kane,NA,,,
Oliver Bjorkstrand,7,2,2,-8,4,2,20,4,1,2021,Sugar Kane,NA,,,
Paul Stastny,1,1,0,2,0,0,4,0,0,2021,Sugar Kane,NA,,,
Jordan Greenway,1,0,0,0,0,0,0,0,0,2021,Sugar Kane,NA,,,
Brayden McNabb,1,0,0,1,0,0,2,3,0,2021,Sugar Kane,NA,,,
Alexander Romanov,5,0,1,-9,2,0,12,10,7,2021,Sugar Kane,NA,,,
Brock Boeser,1,0,1,0,0,0,1,2,1,2021,Sugar Kane,NA,,,
Andrew Mangiapane,1,0,0,1,0,0,1,1,0,2021,Sugar Kane,NA,,,
Total,1023,298,490,97,516,246,2567,1461,896,2021,Sugar Kane,NA,,,
Alex Killorn,5,1,2,1,6,0,13,7,1,2020,The Hans Grubauers,NA,,,
Josh Anderson,22,11,5,4,21,2,62,57,10,2020,The Hans Grubauers,NA,,,
Mark Scheifele,51,19,37,-10,12,17,112,28,36,2020,The Hans Grubauers,NA,,,
Mathew Barzal,50,12,24,12,42,7,121,20,13,2020,The Hans Grubauers,NA,,,
Kyle Connor,48,19,20,-7,8,12,140,14,18,2020,The Hans Grubauers,NA,,,
Brad Marchand,51,27,38,26,42,16,138,64,11,2020,The Hans Grubauers,NA,,,
Mark Stone,53,21,39,25,28,17,95,30,32,2020,The Hans Grubauers,NA,,,
Tom Wilson,46,13,19,2,86,8,82,101,24,2020,The Hans Grubauers,NA,,,
John Carlson,52,10,34,-6,12,15,128,52,69,2020,The Hans Grubauers,NA,,,
Seth Jones,54,5,21,-18,26,8,136,101,97,2020,The Hans Grubauers,NA,,,
Jacob Trouba,3,0,0,-2,2,0,9,10,3,2020,The Hans Grubauers,NA,,,
Jaccob Slavin,7,0,2,4,0,0,7,7,14,2020,The Hans Grubauers,NA,,,
Pierre-Luc Dubois,8,1,4,-1,4,0,11,12,6,2020,The Hans Grubauers,NA,,,
Aaron Ekblad,35,11,11,5,33,11,102,23,25,2020,The Hans Grubauers,NA,,,
Alexander Romanov,4,0,0,5,2,0,10,8,3,2020,The Hans Grubauers,NA,,,
Tyler Motte,1,2,0,2,0,0,6,1,2,2020,The Hans Grubauers,NA,,,
Carter Verhaeghe,5,3,1,0,2,0,9,2,1,2020,The Hans Grubauers,NA,,,
Denis Gurianov,9,1,3,-7,2,2,19,13,2,2020,The Hans Grubauers,NA,,,
David Krejci,5,0,6,3,0,2,9,3,3,2020,The Hans Grubauers,NA,,,
Alec Martinez,44,9,17,19,8,8,73,32,132,2020,The Hans Grubauers,NA,,,
Nick Ritchie,2,1,0,1,0,0,6,2,0,2020,The Hans Grubauers,NA,,,
Nino Niederreiter,6,2,2,2,0,1,16,4,1,2020,The Hans Grubauers,NA,,,
Dustin Brown,4,3,1,1,4,0,10,8,0,2020,The Hans Grubauers,NA,,,
Kevin Hayes,1,0,0,0,2,0,3,0,0,2020,The Hans Grubauers,NA,,,
Roope Hintz,1,0,0,0,0,0,2,1,0,2020,The Hans Grubauers,NA,,,
Miro Heiskanen,8,3,3,3,2,2,23,3,9,2020,The Hans Grubauers,NA,,,
Alex Tuch,4,3,0,4,2,0,10,2,4,2020,The Hans Grubauers,NA,,,
Vladimir Tarasenko,7,1,4,-6,0,2,16,7,5,2020,The Hans Grubauers,NA,,,
Josh Morrissey,21,2,5,-2,11,2,39,29,31,2020,The Hans Grubauers,NA,,,
Jakub Vrana,6,0,1,-3,2,0,8,3,1,2020,The Hans Grubauers,NA,,,
Joel Eriksson Ek,1,0,0,-1,0,0,4,2,1,2020,The Hans Grubauers,NA,,,
Jonathan Marchessault,23,8,11,10,6,3,77,19,5,2020,The Hans Grubauers,NA,,,
Wayne Simmonds,6,1,0,0,4,0,8,5,2,2020,The Hans Grubauers,NA,,,
Jason Robertson,20,7,12,5,8,4,59,16,3,2020,The Hans Grubauers,NA,,,
Eeli Tolvanen,4,2,1,-2,0,2,8,9,2,2020,The Hans Grubauers,NA,,,
Clayton Keller,1,0,0,-3,0,0,1,1,0,2020,The Hans Grubauers,NA,,,
Esa Lindell,6,0,2,7,0,0,6,19,17,2020,The Hans Grubauers,NA,,,
Jamie Oleksiak,16,3,3,-3,4,0,31,43,32,2020,The Hans Grubauers,NA,,,
Craig Smith,4,1,0,3,0,1,9,4,1,2020,The Hans Grubauers,NA,,,
Luke Kunin,2,1,0,0,0,0,6,6,1,2020,The Hans Grubauers,NA,,,
Tomas Hertl,1,0,0,-1,0,0,1,0,0,2020,The Hans Grubauers,NA,,,
Cal Clutterbuck,1,0,0,0,0,0,1,2,0,2020,The Hans Grubauers,NA,,,
Sam Bennett,1,1,1,1,12,1,3,1,0,2020,The Hans Grubauers,NA,,,
